,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
امیر,12,0,52,349,0,7,0,26,6,66.67,[]
بهاران,9,0,55,122,0,0,0,8,0,44.44,[]
جانباز,22,0,117,385,0,5,2,40,3,77.78,[]
شهید فرامرز عباسی,1,0,80,162,1,2,4,11,6,88.89,[]
هدایت,0,0,13,94,0,1,0,4,0,44.44,[]
ایثارگران,7,2,337,1293,3,11,2,158,2,100.0,[]
شفا,0,0,26,247,0,2,0,5,0,44.44,[]
عامل,20,0,63,898,1,17,7,169,5,88.89,[]
شهید مطهری,0,0,15,364,0,3,1,47,3,66.67,[]
عبادی,2,0,19,463,1,6,1,68,5,88.89,[]
هنرور,0,0,15,325,0,1,0,19,1,55.56,[]
سمزقند,0,0,39,203,0,7,0,26,1,55.56,[]
حجت,3,0,20,178,0,3,0,4,0,55.56,[]
نکاح,0,0,14,140,0,0,0,20,0,33.33,[]
یاس,0,0,4,138,0,1,0,6,0,44.44,"[{'lat': 36.3247999, 'lon': 59.5980051}, {'lat': 36.3253645, 'lon': 59.5972306}, {'lat': 36.3265076, 'lon': 59.5956387}]"
فتح المبین,2,0,16,125,1,1,4,39,29,88.89,[]
خاتم الانبیا,3,1,218,452,1,6,2,46,6,100.0,[]
گلبرگ شمالی,0,0,5,76,0,0,0,2,3,44.44,"[{'lat': 36.3265076, 'lon': 59.5956387}, {'lat': 36.3272445, 'lon': 59.5946221}, {'lat': 36.3290607, 'lon': 59.5920995}, {'lat': 36.3301065, 'lon': 59.5906268}]"
موسوی قوچانی,0,0,4,125,0,1,0,1,1,55.56,[]
آپارتمان های مرتفع,7,0,35,10,0,1,0,5,0,55.56,"[{'lat': 36.3236348, 'lon': 59.5779052}, {'lat': 36.3241069, 'lon': 59.5699889}]"
گلبرگ,0,0,8,181,0,2,0,2,3,55.56,[]
زمرد,22,0,26,171,0,3,0,13,6,66.67,[]
پنجتن,3,0,105,342,1,1,5,20,2,88.89,[]
رده,0,0,28,385,1,0,0,10,4,55.56,[]
پنجتن آل عبا,6,0,66,311,1,0,0,17,1,66.67,[]
شهید قربانی,2,0,35,478,0,0,0,31,3,55.56,[]
ابوذر,1,0,16,240,0,3,0,3,1,66.67,[]
وحید,0,0,34,225,0,2,0,14,2,55.56,[]
تلگرد,0,0,63,263,1,7,3,36,3,77.78,[]
ایثار,2,0,41,174,0,16,0,34,7,66.67,[]
گلشور,2,0,66,285,2,9,4,46,9,88.89,[]
طلاب,1,0,16,97,0,12,1,16,8,77.78,[]
امیریه,5,1,297,756,2,12,0,101,4,88.89,[]
الهیه,6,0,346,839,0,6,0,85,4,66.67,[]
اقبال,1,0,42,173,1,8,2,42,4,88.89,[]
شهرآرا,2,0,92,421,1,9,1,117,8,88.89,[]
آب و برق,2,0,71,214,0,11,4,38,7,77.78,[]
حافظ,3,0,84,273,3,2,8,78,4,88.89,[]
هنرستان,3,0,134,429,1,14,5,50,20,88.89,[]
نیروی هوایی,65,0,128,693,1,12,4,76,10,88.89,[]
نه دره,62,0,44,233,0,10,3,56,4,77.78,[]
چهارچشمه,19,0,201,649,1,7,1,39,5,88.89,[]
سرافرازان,25,0,285,673,0,4,1,77,4,77.78,[]
کوثر,2,0,273,396,0,16,4,150,15,77.78,[]
نوفل لوشاتو,36,1,146,490,3,17,8,104,9,100.0,[]
رضاشهر,16,0,221,377,0,11,6,87,5,77.78,[]
بهارستان,1,0,61,99,4,3,3,93,2,88.89,[]
زکریا,20,0,168,463,1,7,5,55,5,88.89,[]
دانشگاه,21,0,420,240,0,5,5,349,5,77.78,[]
پورسینا,2,0,43,435,1,1,0,28,0,66.67,[]
موعود,2,0,15,430,1,2,0,26,2,77.78,[]
اروند,1,0,15,216,0,0,1,5,1,66.67,[]
انصار,1,0,58,127,0,0,1,11,0,55.56,[]
شهرک شهید باهنر,2,0,0,137,0,0,0,0,0,22.22,[]
مصطفی خمینی,5,0,58,144,1,1,0,25,0,66.67,[]
شهرک شیرین,6,0,36,101,0,0,0,23,0,44.44,[]
کشاورز,4,0,68,170,0,0,1,39,1,66.67,[]
شهید معقول,10,0,20,246,1,1,0,79,3,77.78,[]
امیر آباد,8,0,14,82,1,2,0,43,1,77.78,[]
چهنو,3,0,30,202,0,5,5,21,1,77.78,[]
شیرودی,0,0,23,205,0,2,0,7,0,44.44,[]
کارمندان اول,1,0,18,343,0,10,5,22,5,77.78,[]
کارمندان دوم,1,0,42,341,1,0,0,37,1,66.67,[]
محمد آباد,1,0,56,300,1,1,0,25,1,77.78,[]
شهید آوینی,1,0,24,145,1,2,1,12,1,88.89,[]
ثامن,3,0,19,398,0,1,0,17,1,66.67,[]
نیزه,13,0,70,258,1,1,0,21,1,77.78,[]
امیر المومنین,13,0,54,456,1,1,0,23,2,77.78,[]
شهرک مهر آباد,0,0,68,305,1,3,0,25,0,55.56,"[{'lat': 36.2702972, 'lon': 59.6571442}, {'lat': 36.2691398, 'lon': 59.6600116}]"
حسین آباد,0,0,112,425,3,1,1,35,1,77.78,[]
رضاییه,0,0,55,216,0,5,0,15,4,55.56,[]
سجادیه,0,0,28,116,0,0,0,6,0,33.33,"[{'lat': 36.2906592, 'lon': 59.6403538}, {'lat': 36.2903338, 'lon': 59.6406354}, {'lat': 36.2892972, 'lon': 59.6410847}, {'lat': 36.2872855, 'lon': 59.6416359}, {'lat': 36.2863244, 'lon': 59.6420167}, {'lat': 36.2856791, 'lon': 59.6423386}, {'lat': 36.2845602, 'lon': 59.6430722}, {'lat': 36.2817267, 'lon': 59.6387894}]"
جلالیه,1,0,46,164,1,7,5,24,5,88.89,[]
حجاب,2,0,165,312,2,8,0,40,2,77.78,[]
شهرک امام هادی,8,0,47,286,2,4,0,125,1,77.78,[]
ادیب نیشابوری,1,1,128,218,0,3,0,30,2,77.78,[]
نرگس,0,0,67,86,0,0,0,2,0,33.33,[]
فرهنگیان,1,0,100,330,0,5,0,31,13,66.67,[]
شهرک لشکر,2,0,250,454,0,5,2,56,9,77.78,[]
امامیه,2,2,166,337,1,9,3,56,3,100.0,[]
حسابی جنوبی,0,0,83,67,0,1,0,2,1,55.56,[]
شاهد,2,0,100,253,0,4,1,27,6,77.78,[]
استاد یوسفی,5,1,142,336,0,6,3,44,6,88.89,[]
ولیعصر,3,0,107,232,0,3,3,14,4,77.78,[]
شهرک رازی,3,0,70,394,1,2,2,110,5,88.89,[]
فارغ التحصیلان,1,0,150,208,1,2,2,53,1,88.89,[]
شریف,0,0,120,422,1,6,4,82,11,77.78,[]
تربیت,0,0,58,226,1,1,1,15,5,77.78,[]
دانشجو,2,0,53,164,2,9,5,20,9,88.89,[]
فرهنگ,2,0,72,282,0,22,2,23,12,77.78,[]
سید رضی,1,0,42,245,0,18,0,8,6,66.67,[]
شهید رضوی,1,0,44,102,0,1,0,7,1,66.67,[]
زیبا شهر,0,0,25,81,0,0,2,6,0,44.44,[]
آزادشهر,2,1,272,381,1,43,3,95,19,100.0,[]
جاهد شهر,23,0,516,863,2,15,2,154,15,88.89,[]
وکیل آباد,27,0,67,311,0,2,2,145,1,77.78,"[{'lat': 36.340156, 'lon': 59.460644}, {'lat': 36.3404034, 'lon': 59.4599777}, {'lat': 36.340891, 'lon': 59.4584782}, {'lat': 36.3413276, 'lon': 59.457118}, {'lat': 36.3416216, 'lon': 59.4560866}, {'lat': 36.3420639, 'lon': 59.4546317}, {'lat': 36.3424788, 'lon': 59.4532661}, {'lat': 36.3430307, 'lon': 59.4515365}, {'lat': 36.3432454, 'lon': 59.4508815}, {'lat': 36.343881, 'lon': 59.4491604}, {'lat': 36.3443648, 'lon': 59.4477551}, {'lat': 36.3446734, 'lon': 59.4467617}, {'lat': 36.3451757, 'lon': 59.4460529}, {'lat': 36.3460332, 'lon': 59.445494}, {'lat': 36.346275, 'lon': 59.4452388}, {'lat': 36.3464823, 'lon': 59.4449189}, {'lat': 36.346666, 'lon': 59.4444901}, {'lat': 36.3469982, 'lon': 59.4434856}, {'lat': 36.347341, 'lon': 59.4424436}]"
اکبرآباد,10,0,10,123,1,1,0,20,0,66.67,[]
فردوسی,17,0,107,146,0,1,0,19,0,55.56,"[{'lat': 36.4633881, 'lon': 59.5289437}, {'lat': 36.4670949, 'lon': 59.5206907}, {'lat': 36.4680072, 'lon': 59.5175901}, {'lat': 36.4704398, 'lon': 59.5150946}, {'lat': 36.4705425, 'lon': 59.5135615}, {'lat': 36.4707438, 'lon': 59.5105571}, {'lat': 36.4727507, 'lon': 59.5065491}, {'lat': 36.4761561, 'lon': 59.5017848}, {'lat': 36.4782844, 'lon': 59.5001211}, {'lat': 36.4830272, 'lon': 59.4897606}, {'lat': 36.4836961, 'lon': 59.4856013}, {'lat': 36.4846993, 'lon': 59.4835784}]"
چهاربرج,36,0,68,345,0,1,0,23,0,55.56,"[{'lat': 36.4612137, 'lon': 59.4562236}, {'lat': 36.4728099, 'lon': 59.467961}, {'lat': 36.4796598, 'lon': 59.4752566}, {'lat': 36.4826619, 'lon': 59.4800202}, {'lat': 36.4846993, 'lon': 59.4835784}]"
کلاته برفی,34,0,11,319,0,0,0,19,0,44.44,"[{'lat': 36.4301655, 'lon': 59.473865}, {'lat': 36.4308475, 'lon': 59.4725346}, {'lat': 36.4349304, 'lon': 59.4680822}, {'lat': 36.4387282, 'lon': 59.4641018}, {'lat': 36.443786, 'lon': 59.4566667}, {'lat': 36.4443383, 'lon': 59.4555531}]"
percentage,80.63,17.57,97.3,100.0,60.36,83.33,59.46,99.55,78.83,100.0,75.22653153153156
